Episode,Date,Guests (Himself/Herself - Role)
63x05,2007-10-26,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Simon Evans (Himself);Andy Hamilton (Himself);
63x06,2007-11-02,Sandi Toksvig (Herself - Host);Fred MacAulay (Himself);Mark Steel (Himself);Jeremy Hardy (Himself);Phill Jupitus (Himself)
63x07,2007-11-09,Sandi Toksvig (Herself - Host);Francis Wheen (Himself);Andy Hamilton (Himself);Mark Steel (Himself);Fred MacAulay (Himself)
63x08,2007-11-16,Sandi Toksvig (Herself - Host);Andy Hamilton (Himself);Greg Proops (Himself);Jeremy Hardy (Himself);Jo Brand (Herself)
63x09,2007-11-23,Sandi Toksvig (Herself - Host);Francis Wheen (Himself);Simon Evans (Himself);Carrie Quinlan (Herself);Andy Hamilton (Himself)
64x01,2008-01-11,Sandi Toksvig (Herself - Host);Andy Hamilton (Himself);Fred MacAulay (Himself);Carrie Quinlan (Herself);Mark Steel (Himself)
64x02,2008-01-18,Sandi Toksvig (Herself - Host);Francis Wheen (Himself);Jeremy Hardy (Himself);Phill Jupitus (Himself);Fred MacAulay (Himself)
64x03,2008-01-25,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Sue Perkins (Herself);Simon Evans (Himself);Andy Hamilton (Himself)
64x04,2008-02-01,Sandi Toksvig (Herself - Host);Francis Wheen (Himself);Fred MacAulay (Himself);Jeff Green (Himself);Jeremy Hardy (Himself);
64x05,2008-02-08,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Andy Hamilton (Himself);Kevin Day (Himself);Dr Phil Hammond (Himself)
64x06,2008-02-15,Sandi Toksvig (Herself - Host);Carrie Quinlan (Herself);Simon Evans (Himself);Jeremy Hardy (Himself);Francis Wheen (Himself)
64x07,2008-02-22,Sandi Toksvig (Herself - Host);Armando Lannucci (Himself);Mark Steel (Himself);Andy Hamilton (Himself);Fred MacAulay (Himself)
64x08,2008-02-29,Sandi Toksvig (Herself - Host);Dr Phil Hammond (Himself);Kevin Day (Himself);Justin Edwards (Himself);Mark Steel (Himself)
65x01,2008-05-02,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Fred MacAulay (Himself);Sue Perkins (Herself);Phill Jupitus (Himself)
65x02,2008-05-09,Sandi Toksvig (Herself - Host);Francis Wheen (Himself);Sue Perkins (Herself);Carrie Quinlan (Herself);Jeremy Hardy (Himself)
65x03,2008-05-16,Sandi Toksvig (Herself - Host);Andy Hamilton (Himself);Kevin Day (Himself);Justin Edwards (Himself);Jeremy Hardy (Himself)
65x04,2008-05-23,Sandi Toksvig (Herself - Host);Francis Wheen (Himself);Carrie Quinlan (Herself);Jeremy Hardy (Himself);Andy Hamilton (Himself)
65x05,2008-05-30,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Hugo Rifkind (Himself);Carrie Quinlan (Herself);Mark Steel (Himself)
65x06,2008-06-06,Sandi Toksvig (Herself - Host);Francis Wheen (Himself);Simon Evans (Himself);Kevin Day (Himself);Jeremy Hardy (Himself)
65x07,2008-06-13,Sandi Toksvig (Herself - Host);Francis Wheen (Himself);Jeremy Hardy (Himself);Sue Perkins (Herself);Simon Evans (Himself)
65x08,2008-06-20,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Carrie Quinlan (Herself);Andy Hamilton (Himself);Phill Jupitus (Himself)
66x01,2008-09-26,Francis Wheen (Himself);Sue Perkins (Herself);Jeremy Hardy (Himself);Andy Hamilton (Himself);Sandi Toksvig (Herself - Host)
66x02,2008-10-03,Andy Hamilton (Himself);Jeremy Hardy (Himself);Jo Caulfield (Herself);Hugo Rifkind (Himself);Sandi Toksvig (Herself - Host)
66x03,2008-10-10,Sandi Toksvig (Herself - Host);Francis Wheen (Himself);Carrie Quinlan (Herself);Mark Steel (Himself);Jeremy Hardy (Himself)
66x04,2008-10-17,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Phill Jupitus (Himself);Fred MacAulay (Himself);Sue Perkins (Herself)
66x05,2008-10-24,Sandi Toksvig (Herself - Host);Fred MacAulay (Himself);Jeremy Hardy (Himself);Andy Hamilton (Himself);Francis Wheen (Himself)
66x06,2008-10-31,Jeremy Hardy (Himself);Justin Edwards (Himself);Mark Steel (Himself);Simon Evans (Himself);Sandi Toksvig (Herself - Host)
66x07,2008-11-07,Francis Wheen (Himself);Jeremy Hardy (Himself);Andy Hamilton (Himself);Fred MacAulay (Himself);Sandi Toksvig (Herself - Host)
66x08,2008-11-14,Jeremy Hardy (Himself);Robin Ince (Himself);Carrie Quinlan (Herself);Kevin Day (Himself);Sandi Toksvig (Herself - Host)
66x09,2008-11-21,Sandi Toksvig (Herself - Host);Fred MacAulay (Himself);Jeremy Hardy (Himself);Francis Wheen (Himself);Andy Hamilton (Himself)
67x01,2009-01-09,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Clive Anderson (Himself);Phill Jupitus (Himself);Laurence Howarth (Himself)
67x02,2009-01-16,Sandi Toksvig (Herself - Host);Francis Wheen (Himself);Sue Perkins (Herself);Carrie Quinlan (Herself);Jeremy Hardy (Himself)
67x03,2009-01-23,Sandi Toksvig (Herself - Host);Andy Hamilton (Himself);Jeremy Hardy (Himself);Danielle Ward (Herself);Fred MacAulay (Himself)
67x04,2009-01-30,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Francis Wheen (Himself);Phill Jupitus (Himself);David Mitchell (Himself)
67x05,2009-02-06,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Chris Addison (Himself);Andy Hamilton (Himself);Phill Jupitus (Himself)
67x06,2009-02-13,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Dave Gorman (Himself);Andy Hamilton (Himself);Francis Wheen (Himself)
67x07,2009-02-20,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Fred MacAulay (Himself);Shappi Khorsandi (Herself);Mark Steel (Himself)
67x08,2009-02-27,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Fred MacAulay (Himself);Francis Wheen (Himself);Andy Hamilton (Himself)
68x01,2009-05-01,Sandi Toksvig (Herself - Host);Phill Jupitus (Himself);Andy Hamilton (Himself);Fred Macaulay (Himself);Hugo Rifkind (Himself)
68x02,2009-05-08,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Francis Wheen (Himself);Andy Hamilton (Himself);Sue Perkins (Herself)
68x03,2009-05-15,Sandi Toksvig (Herself - Host);Fred MacAulay (Himself);Josie Long (Herself);Hugo Rifkind (Himself);Jeremy Hardy (Himself)
68x04,2009-05-22,Sandi Toksvig (Herself - Host);Francis Wheen (Himself);Fred Macaulay (Himself);Robin Ince (Himself);Steve Punt (Himself)
68x05,2009-05-29,Sandi Toksvig (Herself - Host);Rory Bremner (Himself);Fred Macaulay (Himself);Andy Zaltzman (Himself);Danielle Ward (Herself)
68x06,2009-06-05,Sandi Toksvig (Herself - Host);Andy Hamilton (Himself);Jeremy Hardy (Himself);Sue Perkins (Herself);Francis Wheen (Himself)
68x07,2009-06-12,Sandi Toksvig (Herself - Host);Andy Hamilton (Himself);Phill Jupitus (Himself);Jeremy Hardy (Himself);Carrie Quinlan (Herself)
68x08,2009-06-19,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Andy Hamilton (Himself);Francis Wheen (Himself);Mark Steel (Himself)
69x01,2009-09-25,Sandi Toksvig (Herself - Host);Andy Hamilton (Himself);Mark Steel (Himself);Jeremy Hardy (Himself);Francis Wheen (Himself)
69x02,2009-10-02,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Mark Steel (Himself);Francis Wheen (Himself);Sue Perkins (Herself)
69x03,2009-10-09,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Carrie Quinlan (Herself);Miles Jupp (Himself);Danielle Ward (Herself)
69x04,2009-10-16,Sandi Toksvig (Herself - Host);Sue Perkins (Herself);Jeremy Hardy (Himself);Fred Macaulay (Himself);Simon Evans (Himself)
69x05,2009-10-23,Sandi Toksvig (Herself - Host);Steve Punt (Himself);Robin Ince (Himself);Francis Wheen (Himself);Jeremy Hardy (Himself)
69x06,2009-10-30,Sandi Toksvig (Herself - Host);Hugo Rifkind (Himself);Jeremy Hardy (Himself);Paul Sinha (Himself);Miles Jupp (Himself)
69x07,2009-11-06,Sandi Toksvig (Herself - Host);Francis Wheen (Himself);Danielle Ward (Herself);David Mitchell (Himself);Jeremy Hardy (Himself)
69x08,2009-11-13,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Holly Walsh (Herself);Rory Bremner (Himself);Andy Parsons (Himself)
69x09,2009-11-20,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Francis Wheen (Himself);Carrie Quinlan (Herself);Sue Perkins (Herself)
70x01,2010-01-08,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Fred Macaulay (Himself);Will Smith (Himself);Danielle Ward (Herself)
70x02,2010-01-15,Sandi Toksvig (Herself - Host);Andy Hamilton (Himself);Fred Macaulay (Himself);Miles Jupp (Himself);John Gordillo (Himself)
70x03,2010-01-22,Sandi Toksvig (Herself - Host);Francis Wheen (Himself);Jeremy Hardy (Himself);Susan Calman (Herself);Sue Perkins (Herself)
70x04,2010-01-29,Sandi Toksvig (Herself - Host);Andy Hamilton (Himself);Jeremy Hardy (Himself);Sue Perkins (Herself);Carrie Quinlan (Herself)
70x05,2010-02-05,Sandi Toksvig (Herself - Host);Francis Wheen (Himself);Jeremy Hardy (Himself);Micky Flanagan (Himself);Jack Dee (Himself)
70x06,2010-02-12,Sandi Toksvig (Herself - Host);Will Smith (Himself);Jeremy Hardy (Himself);Andy Hamilton (Himself);Milton Jones (Himself)
70x07,2010-02-19,Fred MacAulay (Himself);Jeremy Hardy (Himself);Ava Vidal (Herself);Miles Jupp (Himself);Sandi Toksvig (Herself - Host)
70x08,2010-02-26,Sandi Toksvig (Herself - Host);Susan Calman (Herself);Jeremy Hardy (Himself);Andy Hamilton (Himself);Victoria Mather (Herself)
71x01,2010-04-16,Sandi Toksvig (Herself - Host);Andy Hamilton (Himself);Jeremy Hardy (Himself);Francis Wheen (Himself);Miles Jupp (Himself)
71x02,2010-04-23,Sandi Toksvig (Herself - Host);Phill Jupitus (Himself);Jeremy Hardy (Himself);Fred Macaulay (Himself);Sue Perkins (Herself)
71x03,2010-04-30,Sandi Toksvig (Herself - Host);Andy Hamilton (Himself);Francis Wheen (Himself);Hugo Rifkind (Himself);Will Smith (Himself)
71x04,2010-05-07,Sandi Toksvig (Herself - Host);Jack Dee (Himself);Jeremy Hardy (Himself);Sue Perkins (Herself);Francis Wheen (Himself)
71x05,2010-05-14,Sandi Toksvig (Herself - Host);Phill Jupitus (Himself);Andy Hamilton (Himself);Jeremy Hardy (Himself);Susan Calman (Herself)
71x06,2010-05-21,Sandi Toksvig (Herself - Host);Phill Jupitus (Himself);Jeremy Hardy (Himself);Will Smith (Himself);Danielle Ward (Herself)
71x07,2010-05-28,Sandi Toksvig (Herself - Host);David Mitchell (Himself);Jeremy Hardy (Himself);Fred Macaulay (Himself);Susan Calman (Herself)
71x08,2010-06-04,Sandi Toksvig (Herself - Host);Armando Iannucci (Himself);Jeremy Hardy (Himself);Ava Vidal (Herself);Fred Macaulay (Himself)
71x09,2010-06-11,Sandi Toksvig (Herself - Host);Mark Steel (Himself);Miles Jupp (Himself);Jeremy Hardy (Himself);Susan Calman (Herself)
72x01,2010-09-24,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Sue Perkins (Herself);Mark Steel (Himself);Gyles Brandreth (Himself)
72x02,2010-10-01,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Francis Wheen (Himself);Sue Perkins (Herself);Andy Hamilton (Himself)
72x03,2010-10-08,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Sue Perkins (Herself);Miles Jupp (Himself);Andy Hamilton (Himself)
72x04,2010-10-15,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Susan Calman (Herself);Phill Jupitus (Himself);Andy Hamilton (Himself)
72x05,2010-10-22,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Will Smith (Himself);Susan Calman (Herself);Rory Bremner (Himself)
72x06,2010-10-29,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Ava Vidal (Herself);Francis Wheen (Himself);Phill Jupitus (Himself)
72x07,2010-11-05,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Fred Macaulay (Himself);Bridget Christie (Herself);Andy Hamilton (Himself)
72x08,2010-11-12,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Phill Jupitus (Himself);Miles Jupp (Himself);Andy Hamilton (Himself)
73x01,2010-12-31,Sandi Toksvig (Herself - Host);Sue Perkins (Herself);Jeremy Hardy (Himself);Andy Hamilton (Himself);Francis Wheen (Himself)
73x02,2011-01-07,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Sue Perkins (Herself);Phill Jupitus (Himself);Francis Wheen (Himself)
73x03,2011-01-14,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Susan Calman (Herself);Henning Wehn (Himself);Andy Hamilton (Himself)
73x04,2011-01-21,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Mark Steel (Himself);Hugo Rifkind (Himself);Sue Perkins (Herself)
73x05,2011-01-28,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Paul Sinha (Himself);Carrie Quinlan (Herself);Sue Perkins (Herself)
73x06,2011-02-04,Sandi Toksvig (Herself - Host);Jo Brand (Herself);Susan Calman (Herself);Jeremy Hardy (Himself);Andrew Lawrence (Himself)
73x07,2011-02-11,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Danielle Ward (Herself);Sue Perkins (Herself);Fred Macaulay (Himself)
73x08,2011-02-18,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Fred Macaulay (Himself);Imran Yusuf (Himself);Paul Sinha (Himself)
73x09,2011-02-25,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Roisin Conaty (Herself);Dominic Holland (Himself);Susan Calman (Herself)
74x01,2011-04-15,Sandi Toksvig (Herself - Host);Jack Dee (Himself);Fred Macaulay (Himself);Susan Calman (Herself);Jeremy Hardy (Himself)
74x02,2011-04-22,Sandi Toksvig (Herself - Host);Susan Calman (Herself);Matthew Parris (Himself);Will Smith (Himself);Jeremy Hardy (Himself)
74x03,2011-04-29,Sandi Toksvig (Herself - Host);Fred Macaulay (Himself);Russell Kane (Himself);Hugo Rifkind (Himself);Jeremy Hardy (Himself)
74x04,2011-05-06,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Rebecca Front (Herself);Richard Herring (Himself);Susan Calman (Herself)
74x05,2011-05-13,Sandi Toksvig (Herself - Host);Mark Steel (Himself);Sarah Millican (Herself);Miles Jupp (Himself);Jeremy Hardy (Himself)
74x06,2011-05-20,Sandi Toksvig (Herself - Host);Armando Ianucci (Himself);Will Smith (Himself);Bridget Christie (Herself);Jeremy Hardy (Himself)
74x07,2011-05-27,Sandi Toksvig (Herself - Host);Andrew Maxwell (Himself);Paul Sinha (Himself);Susan Calman (Herself);Jeremy Hardy (Himself)
74x08,2011-06-03,Sandi Toksvig (Herself - Host);Andrew Maxwell (Himself);Paul Sinha (Himself);Susan Calman (Herself);Jeremy Hardy (Himself)
75x01,2011-09-09,Sandi Toksvig (Herself - Host);Andy Hamilton (Himself);Dominic Lawson (Himself);Jeremy Hardy (Himself);Fred MacAulay (Himself)
75x02,2011-09-16,Sandi Toksvig (Herself - Host);Susan Calman (Herself);Marcus Brigstocke (Himself);Hugo Rifkind (Himself);Jeremy Hardy (Himself)
75x03,2011-09-23,Sandi Toksvig (Herself - Host);Andy Hamilton (Himself);Julia Hartley-Brewer (Herself);Jeremy Hardy (Himself);Susan Calman (Herself)
75x04,2011-09-30,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Laura Solon (Herself);Phill Jupitus (Himself);Fred MacAulay (Himself)
75x05,2011-10-07,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Andy Hamilton (Himself);Susan Calman (Herself);Bob Mills (Himself)
75x06,2011-10-14,Sandi Toksvig (Herself - Host);Tom Wrigglesworth (Himself);Paul Sinha (Himself);Jeremy Hardy (Himself);Sarah Millican (Herself)
75x07,2011-10-21,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Matthew Parris (Himself);Andy Hamilton (Himself);Fred MacAulay (Himself)
75x08,2011-10-28,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Hugo Rifkind (Himself);Susan Calman (Herself);Fred MacAulay (Himself)
75x09,2011-11-04,Sandi Toksvig (Herself - Host);Andy Hamilton (Himself);Phill Jupitus (Himself);Jeremy Hardy (Himself);Bridget Christie (Herself)
76x01,2012-12-23,Sandi Toksvig (Herself - Host);Alexei Sayle (Himself);Susan Calman (Herself);Miles Jupp (Himself);Jeremy Hardy (Himself)
76x02,2012-01-06,Sandi Toksvig (Herself - Host);Tom Allen (Himself);Susan Calman (Herself);Jeremy Hardy (Himself);Fred MacAulay (Himself)
76x03,2012-01-13,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Sue Perkins (Herself);Fred MacAulay (Himself);Bob Mills (Himself)
76x04,2012-01-20,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Sue Perkins (Herself);John Finnemore (Himself);Simon Munnery (Himself)
76x05,2012-01-27,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Rebecca Front (Herself);Hugo Rifkind (Himself);Steve Punt (Himself)
76x06,2012-02-03,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Susan Calman (Herself);Roisin Conaty (Herself);Mark Steel (Himself)
76x07,2012-02-10,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Phill Jupitus (Himself);Rick Wakeman (Himself);Miles Jupp (Himself)
77x01,2012-04-06,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Andy Hamilton (Himself);Rick Wakeman (Himself);Miles Jupp (Himself)
77x02,2012-04-13,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Fred MacAulay (Himself);Jo Caulfield (Herself);Andrew Maxwell (Himself)
77x03,2012-04-20,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Rebecca Front (Herself);Andy Hamilton (Himself);Bridget Christie (Herself)
77x04,2012-04-27,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Rory Bremner (Himself);Justin Moorhouse (Himself);Roisin Conaty (Herself)
77x05,2012-05-04,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Phill Jupitus (Himself);Hugo Rifkind (Himself);Shappi Khorsandi (Herself)
77x06,2012-05-11,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Mark Steel (Himself);Fred MacAulay (Himself);Bridget Christie (Herself)
77x07,2012-05-18,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Susan Calman (Herself);Bob Mills (Himself);Matt Forde (Himself)
77x08,2012-05-25,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Phill Jupitus (Himself);Ed Byrne (Himself);Francis Wheen (Himself)
77x09,2012-06-01,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Andy Hamilton (Himself);Rebecca Front (Herself);Susan Calman (Herself)
78x01,2012-09-07,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Fred Macaulay (Himself);Sarah Millican (Herself);Andy Hamilton (Himself)
78x02,2012-09-14,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Francis Wheen (Himself);Susan Calman (Herself);Cal Wilson (Herself)
78x03,2012-09-21,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Andy Hamilton (Himself);Rebecca Front (Herself);Kevin Day (Himself)
78x04,2012-09-28,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Francis Wheen (Himself);Andy Hamilton (Himself);Bob Mills (Himself)
78x05,2012-10-05,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Hugo Rifkind (Himself);Susan Calman (Herself);Francesca Martinez (Herself)
78x06,2012-10-12,Sandi Toksvig (Herself - Host);Susan Calman (Herself);Nick Doody (Himself);Francis Wheen (Himself);Rebecca Front  (Herself)
78x07,2012-10-19,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Phill Jupitus (Himself);Michael Deacon (Himself);Susan Calman (Herself)
78x08,2012-10-26,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Hugo Rifkind (Himself);Kevin Day (Himself);Roisin Conaty (Herself)
78x09,2012-11-02,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Susan Calman (Herself);Justin Edwards (Himself);Lloyd Langford (Himself)
79x01,2012-12-21,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Susan Calman (Herself);Samira Ahmed (Herself);Nick Doody (Himself)
79x02,2013-01-11,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Francesca Martinez (Herself);Fred MacAulay (Himself);Susan Calman (Herself)
79x03,2013-01-18,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Miles Jupp (Himself);Francis Wheen (Himself);Sue Perkins (Herself)
79x04,2013-01-25,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Hugo Rifkind (Himself);Bob Mills (Himself);Jo Brand (Herself)
79x05,2013-02-01,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Francis Wheen (Himself);Rebecca Front (Herself);Roisin Conaty (Herself)
79x06,2013-02-08,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Daniel Finkelstein (Himself);Katy Brand (Herself);Mark Steel (Himself)
80x01,2013-04-12,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Andrew Maxwell (Himself);Daniel Finkelstein (Himself);Roisin Conaty (Herself)
80x02,2013-04-19,Rory Bremner (Himself - Guest Host);Jeremy Hardy (Himself);Andrew Maxwell (Himself);Daniel Finkelstein (Himself);Roisin Conaty (Herself)
80x03,2013-04-26,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Susan Calman (Herself);Miles Jupp (Himself);Samira Ahmed (Herself)
80x04,2013-05-03,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Fred MacAulay (Himself);Katy Brand (Herself);Humphrey Ker (Himself)
80x05,2013-05-10,Sandi Toksvig (Herself - Host);Francis Wheen (Himself);Jeremy Hardy (Himself);Bridget Christie (Herself);Bob Mills (Himself)
81x01,2013-06-28,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Katy Brand (Herself);Miles Jupp (Himself);Andrew Maxwell (Himself)
81x02,2013-07-05,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Susan Calman (Herself);Nathan Caton (Himself);Hugo Rifkind (Himself)
81x03,2013-07-12,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Samira Ahmed (Herself);Francesca Martinez (Herself);Bob Mills (Himself) 
81x04,2013-07-19,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Jon Richardson (Himself);Vicki Pepperdine (Herself);Hugo Rifkind (Himself)
81x05,2013-07-26,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Jason Cook (Himself);Julia Hartley-Brewer (Herself);Fred MacAulay (Himself)
81x06,2013-08-02,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Justin Moorhouse (Himself);Roisin Conaty (Herself);Bob Mills (Himself)
81x07,2013-08-09,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Susan Calman (Herself);Matt Forde (Himself);Justin Edwards (Himself)
83x01,2014-02-14,Sandi Toksvig (Herself - Host);Samira Ahmed (Herself);Susan Calman (Herself);Phill Jupitus (Himself);Jeremy Hardy (Himself)
83x02,2014-02-21,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Sara Pascoe (Herself);Bob Mills (Himself);Fred MacAulay (Himself)
83x03,2014-02-28,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Susan Calman (Herself);Paul Sinha (Himself);Hugo Rifkind (Himself)
83x04,2014-03-07,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Bob Mills (Himself);Samira Ahmed (Herself);Justin Moorhouse (Himself)
83x05,2014-03-14,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Miles Jupp (Himself);Holly Walsh (Herself);Hugo Rifkind (Himself)
83x06,2014-03-21,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);David Mitchell (Himself);Elis James (Himself);Mark Steel (Himself)
83x07,2014-03-28,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Susan Calman (Herself);Phill Jupitus (Himself);Lucy Porter (Herself)
83x08,2014-04-04,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Romesh Ranganathan (Himself);Katy Brand (Herself);Kevin Day (Himself)
83x09,2014-04-11,Susan Calman (Herself - Guest Host);Jeremy Hardy (Himself);Andrew Maxwell (Himself);Tom Wrigglesworth (Himself);Holly Walsh (Herself)
84x01,2014-06-06,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Hugo Rifkind (Himself);Sara Pascoe (Herself);Elis James (Himself);Neil Sleat (Himself)
84x02,2014-06-13,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Lucy Porter (Herself);Samira Ahmed (Herself);Bob Mills (Himself)
84x03,2014-06-20,Sandi Toksvig (Herself - Host);Jeremy Hardy (Himself);Holly Walsh (Herself);Romesh Ranganathan (Himself);Susan Calman (Herself)
