Episode,Date,Guests (Himself/Herself - Role),References
b06kh281,2015-10-30,c3rbbyxx:Eric Robson (Himself - Host);bm638qfj:Matthew Wilson (Himself);l0a9ekbh:Christine Walkden (Herself);zgiug8pp:Pippa Greenwood (Herself);,http://www.bbc.co.uk/programmes/b06kh281
b06mv2zf,2015-11-06,c3rbbyxx:Eric Robson (Himself - Host);a54csc0l:Chris Beardshaw (Himself);ftvf5guo:Anne Swithinbank (Herself);bm638qfj:Matthew Wilson (Himself);,http://www.bbc.co.uk/programmes/b06mv2zf
b06ns0r0,2015-11-13,c3rbbyxx:Eric Robson (Himself - Host);a54csc0l:Chris Beardshaw (Himself);8lu8avar:Bunny Guinness (Herself);l0a9ekbh:Christine Walkden (Herself);,http://www.bbc.co.uk/programmes/b06ns0r0
b06pdjgm,2015-11-20,z7erbl7l:Peter Gibbs (Himself - Host);a54csc0l:Chris Beardshaw (Himself);ftvf5guo:Anne Swithinbank (Herself);80blrdy1:Bob Flowerdew (Himself);,http://www.bbc.co.uk/programmes/b06pdjgm
b06pxzdq,2015-11-27,z7erbl7l:Peter Gibbs (Himself - Host);bm638qfj:Matthew Wilson (Himself);8lu8avar:Bunny Guinness (Herself);80blrdy1:Bob Flowerdew (Himself);,http://www.bbc.co.uk/programmes/b06pxzdq
b06qmtzy,2015-12-04,c3rbbyxx:Eric Robson (Himself - Host);zgiug8pp:Pippa Greenwood (Herself);bm638qfj:Matthew Wilson (Himself);l0a9ekbh:Christine Walkden (Herself);,http://www.bbc.co.uk/programmes/b06qmtzy
b06r8gmv,2015-12-11,c3rbbyxx:Eric Robson (Himself - Host);a54csc0l:Chris Beardshaw (Himself);5t4e07w6:Matthew Biggs (Himself);ftvf5guo:Anne Swithinbank (Herself);,http://www.bbc.co.uk/programmes/b06r8gmv
b06s1b8y,2015-12-18,c3rbbyxx:Eric Robson (Himself - Host);vbj7kc1z:James Wong (Himself);5t4e07w6:Matthew Biggs (Himself);ftvf5guo:Anne Swithinbank (Herself);,http://www.bbc.co.uk/programmes/b06s1b8y
b06sfh1b,2015-12-25,z7erbl7l:Peter Gibbs (Himself - Host);bm638qfj:Matthew Wilson (Himself);8lu8avar:Bunny Guinness (Herself);80blrdy1:Bob Flowerdew (Himself);,http://www.bbc.co.uk/programmes/b06sfh1b
b06spdm3,2016-01-01,z7erbl7l:Peter Gibbs (Himself - Host);a54csc0l:Chris Beardshaw (Himself);80blrdy1:Bob Flowerdew (Himself);zgiug8pp:Pippa Greenwood (Herself);,http://www.bbc.co.uk/programmes/b06spdm3
b06tvwtz,2016-01-08,c3rbbyxx:Eric Robson (Himself - Host);zgiug8pp:Pippa Greenwood (Herself);bm638qfj:Matthew Wilson (Himself);l0a9ekbh:Christine Walkden (Herself);,http://www.bbc.co.uk/programmes/b06tvwtz
b06vn91z,2016-01-15,c3rbbyxx:Eric Robson (Himself - Host);bm638qfj:Matthew Wilson (Himself);80blrdy1:Bob Flowerdew (Himself);l0a9ekbh:Christine Walkden (Herself);,http://www.bbc.co.uk/programmes/b06vn91z
b06wj67h,2016-01-22,c3rbbyxx:Eric Robson (Himself - Host);8lu8avar:Bunny Guinness (Herself);zgiug8pp:Pippa Greenwood (Herself);80blrdy1:Bob Flowerdew (Himself);,http://www.bbc.co.uk/programmes/b06wj67h
b06yfyp7,2016-01-29,c3rbbyxx:Eric Robson (Himself - Host);zgiug8pp:Pippa Greenwood (Herself);l0a9ekbh:Christine Walkden (Herself);5t4e07w6:Matthew Biggs (Himself);,http://www.bbc.co.uk/programmes/b06yfyp7
b06z5jmc,2016-02-05,c3rbbyxx:Eric Robson (Himself - Host);bm638qfj:Matthew Wilson (Himself);a54csc0l:Chris Beardshaw (Himself);ftvf5guo:Anne Swithinbank (Herself);,http://www.bbc.co.uk/programmes/b06z5jmc
b06zvbwn,2016-02-12,c3rbbyxx:Eric Robson (Himself - Host);vbj7kc1z:James Wong (Himself);80blrdy1:Bob Flowerdew (Himself);l0a9ekbh:Christine Walkden (Herself);,http://www.bbc.co.uk/programmes/b06zvbwn
b070hxsb,2016-02-19,c3rbbyxx:Eric Robson (Himself - Host);8lu8avar:Bunny Guinness (Herself);bm638qfj:Matthew Wilson (Himself);80blrdy1:Bob Flowerdew (Himself);,http://www.bbc.co.uk/programmes/b070hxsb
b0717lrx,2016-02-26,c3rbbyxx:Eric Robson (Himself - Host);8lu8avar:Bunny Guinness (Herself);80blrdy1:Bob Flowerdew (Himself);vbj7kc1z:James Wong (Himself);,http://www.bbc.co.uk/programmes/b0717lrx
b071x87m,2016-03-04,c3rbbyxx:Eric Robson (Himself - Host);5t4e07w6:Matthew Biggs (Himself);ftvf5guo:Anne Swithinbank (Herself);zgiug8pp:Pippa Greenwood (Herself);,http://www.bbc.co.uk/programmes/b071x87m
b072n8f9,2016-03-11,c3rbbyxx:Eric Robson (Himself - Host);a54csc0l:Chris Beardshaw (Himself);ftvf5guo:Anne Swithinbank (Herself);bm638qfj:Matthew Wilson (Himself);,http://www.bbc.co.uk/programmes/b072n8f9
b073bb51,2016-03-18,z7erbl7l:Peter Gibbs (Himself - Host);l0a9ekbh:Christine Walkden (Herself);zgiug8pp:Pippa Greenwood (Herself);vbj7kc1z:James Wong (Himself);,http://www.bbc.co.uk/programmes/b073bb51
b074vx93,2016-03-25,c3rbbyxx:Eric Robson (Himself - Host);zgiug8pp:Pippa Greenwood (Herself);5t4e07w6:Matt Biggs (Himself);l0a9ekbh:Christine Walkden (Herself);,http://www.bbc.co.uk/programmes/b074vx93
b074zy95,2016-04-01,c3rbbyxx:Eric Robson (Himself - Host);80blrdy1:Bob Flowerdew (Himself);8lu8avar:Bunny Guinness (Herself);bm638qfj:Matthew Wilson (Himself);bkq1psyo:Prince Charles (Himself);,http://www.bbc.co.uk/programmes/b074zy95
b075thgf,2016-04-08,c3rbbyxx:Eric Robson (Himself - Host);vbj7kc1z:James Wong (Himself);ftvf5guo:Anne Swithinbank (Herself);5t4e07w6:Matt Biggs (Himself);,http://www.bbc.co.uk/programmes/b075thgf
b076prgg,2016-04-15,c3rbbyxx:Eric Robson (Himself - Host);8lu8avar:Bunny Guinness (Herself);bm638qfj:Matthew Wilson (Himself);l0a9ekbh:Christine Walkden (Herself);,http://www.bbc.co.uk/programmes/b076prgg
b077jq34,2016-04-22,z7erbl7l:Peter Gibbs (Himself - Host);80blrdy1:Bob Flowerdew (Himself);ftvf5guo:Anne Swithinbank (Herself);zgiug8pp:Pippa Greenwood (Herself);,http://www.bbc.co.uk/programmes/b077jq34
b0788bc6,2016-04-29,c3rbbyxx:Eric Robson (Himself - Host);l0a9ekbh:Christine Walkden (Herself);bm638qfj:Matthew Wilson (Himself);80blrdy1:Bob Flowerdew (Himself);,http://www.bbc.co.uk/programmes/b0788bc6
